Code	Price	Name	Description	Category	ThumbnailURL	ProductPageURL	UPSWeight	TaxField	FullDescription	ProductPictureURL	Attribute	Size	AttributeGroupID	Ordinal
10A1	48	Mechanical Pinches	5 holds per set	Artistic	http://www.e-grips.com/artistic/mechanical-pinches.html	http://www.e-grips.com/artistic/mechanical-pinches.html	4		"Turn, reach, grab, crank, turn, reach, grab, crank. Be like a machine on these amazing pinch grabs. Super squeeze grabs on any angle, these were designed specifically for big moves, hand-toe matches, bicycles and foot-hugs. Get some chalk, squeeze and crank"	Flat				
10A1-h	50	Mechanical Pinches w/hardware	5 holds per set w/hardware	Artistic	http://www.e-grips.com/artistic/mechanical-pinches.html	http://www.e-grips.com/artistic/mechanical-pinches.html	4		"Turn, reach, grab, crank, turn, reach, grab, crank. Be like a machine on these amazing pinch grabs. Super squeeze grabs on any angle, these were designed specifically for big moves, hand-toe matches, bicycles and foot-hugs. Get some chalk, squeeze and crank"	Flat				
1S7	43	Joe's Classic Jugs	5 holds per set	Sandstone	http://www.e-grips.com/sandstone/joes-classic-jugs.html	http://www.e-grips.com/sandstone/joes-classic-jugs.html	4		"A classic returns. One of the first e-Grips sets in production, this set of friendly incut jugs includes one of the best shapes of its kind ever shaped - the Dream Pocket. Used in many of the most high-profile events over a decade, this pocket has been climbed on by the best in the world many times over. Share the dream."	incut				
1S7-h	45	Joe's Classic Jugs w/hardware	5 holds per set w/hardware	Sandstone	http://www.e-grips.com/sandstone/joes-classic-jugs.html	http://www.e-grips.com/sandstone/joes-classic-jugs.html	4		"A classic returns. One of the first e-Grips sets in production, this set of friendly incut jugs includes one of the best shapes of its kind ever shaped - the Dream Pocket. Used in many of the most high-profile events over a decade, this pocket has been climbed on by the best in the world many times over. Share the dream."	incut				
10A2	68	Side Dishes II	10 holds per set	Artistic	http://www.e-grips.com/artistic/side-dishes-2.html	http://www.e-grips.com/artistic/side-dishes-2.html	4		"The smooth and simple artistic style executed again to perfection. We took a popular set of flat wide pinches, the classic Side Dishes, and extrapolated for another set, just smaller than the originals, with a full plate of ten. Enjoy these as appetizers and get the Salad and Soup Dishes for a full meal."	incut				
10A2-h	70	Side Dishes II w/hardware	10 holds per set w/hardware	Artistic	http://www.e-grips.com/artistic/side-dishes-2.html	http://www.e-grips.com/artistic/side-dishes-2.html	4		"The smooth and simple artistic style executed again to perfection. We took a popular set of flat wide pinches, the classic Side Dishes, and extrapolated for another set, just smaller than the originals, with a full plate of ten. Enjoy these as appetizers and get the Salad and Soup Dishes for a full meal."	incut				
10A3	58	Turtle Mini-Jugs	5 holds per set	Granite	http://www.e-grips.com/artistic/turtle-mini-jugs.html	http://www.e-grips.com/artistic/turtle-mini-jugs.html	4		"Just like their Papa, these turtle shell-like grips have all the contours of a nicely refined Ryan Spence shape - aesthetic form with small sloping bulges to get your tips around in just the right way. These are actually large sized shapes overall, but we call them mini-jugs because the grabs themselves are slopey and intricate."	incut				
10A3-h	60	Turtle Mini-Jugs w/hardware	5 holds per set w/hardware	Granite	http://www.e-grips.com/artistic/turtle-mini-jugs.html	http://www.e-grips.com/artistic/turtle-mini-jugs.html	4		"Just like their Papa, these turtle shell-like grips have all the contours of a nicely refined Ryan Spence shape - aesthetic form with small sloping bulges to get your tips around in just the right way. These are actually large sized shapes overall, but we call them mini-jugs because the grabs themselves are slopey and intricate."	incut				
10G1	39	Real Hueco Incuts	5 holds per set	Granite	http://www.e-grips.com/granite/real-hueco-incuts.html	http://www.e-grips.com/granite/real-hueco-incuts.html	4		"Endlessly inspired by the Mecca that is Hueco Tanks and the volcanic syenite porphyry found there, the Real Hueco Incuts are intricate pinch, crimp, and edge grabs with subtle artistic beauty."	incut				
10G1-h	47	Real Hueco Incuts w/hardware	5 holds per set w/hardware	Granite	http://www.e-grips.com/granite/real-hueco-incuts.html	http://www.e-grips.com/granite/real-hueco-incuts.html	4		"Endlessly inspired by the Mecca that is Hueco Tanks and the volcanic syenite porphyry found there, the Real Hueco Incuts are intricate pinch, crimp, and edge grabs with subtle artistic beauty."	incut				
10L1	72	Lunar Loaves	5 holds per set	Limestone	http://www.e-grips.com/limestone/lunar-loaves.html	http://www.e-grips.com/limestone/lunar-loaves.html	4		"Fat, rounded grabs that look and seem to be positive jugs on a vertical wall become devious on the steep terrain, requiring tension and contact strength. The gravitational force you have to fight against will be entirely dependent on the angle of terrain."	sloper				
10L1-h	74	Lunar Loaves w/hardware	5 holds per set w/hardware	Limestone	http://www.e-grips.com/limestone/lunar-loaves.html	http://www.e-grips.com/limestone/lunar-loaves.html	4		"Fat, rounded grabs that look and seem to be positive jugs on a vertical wall become devious on the steep terrain, requiring tension and contact strength. The gravitational force you have to fight against will be entirely dependent on the angle of terrain."	sloper				
